ACE inhibitor-induced cough, c_926, R05, T88.7, Y52.4
Abdominal aortic aneurysm, c_764, I71.4
Abdominal aortic dissection, c_885, I71.0, I71.3, I71.4, I71.5, I71.6, I71.8
Abdominal pain, unspecified, c_969, R10.4
Abducens nerve palsy, c_547, H49.2
Abnormal vaginal bleeding in adolescence, c_1123, N92.1, N92.2, N93.8
Acetaminophen poisoning, c_306, T39.1
Achalasia, c_1, K22.0
Achilles tendinitis, c_803, M76.6
Achilles tendon rupture, c_806, S86.1
Acne, c_111, L70.0, L70.1, L70.2, L70.3, L70.5, L70.8, L70.9, L73.0
Acquired immunodeficiency syndrome, c_259, B20, B21, B22, B23, B24
Acromegaly, c_163, E22.0
Acute HIV infection, c_665, B23.0
Acute angle-closure glaucoma, c_996, H40.2
Acute anticholinergic syndrome, c_296, T44.3
Acute bacterial rhinosinusitis, c_1172, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute bronchitis, c_72, J20, J20.9, J68.0
Acute cholinergic syndrome, c_187, T44.0, T44.1
Acute cystitis, c_184, N30.0
Acute heart failure, c_1005
Acute hypnotic toxicity, c_191, F13.0
Acute intestinal ischemia, c_697, K55.0
Acute kidney injury, c_662, N17
Acute laryngitis, c_123, J04.0
Acute liver failure, c_507, K72.0
Acute lower gastrointestinal hemorrhage, c_705, K62.5, K92.2
Acute lower limb ischemia, c_1097, I74.3
Acute lymphoblastic leukemia, c_70, C91.0
Acute mastoiditis, c_526, H70.0
Acute myeloid leukemia, c_71, C92.0
Acute opioid toxicity, c_193, T50.7
Acute otitis media, c_130, H66.0, H66.4, H66.9
Acute pancreatitis, c_73, K85
Acute porphyria, c_168, E80.2
Acute rheumatic fever, c_331, I00, I01
Acute stimulant overdose, c_194, F15.0, F15.1, T43.6
Acute streptococcal tonsillopharyngitis, c_249, J02.0, J03.0
Acute stress reaction, c_1098, F43.0
Acute thyroiditis, c_430, E06.0
Acute upper gastrointestinal bleeding, c_703, K92.2
Acute upper limb ischemia, c_1099, I74.2
Acute urticaria, c_77, L50
