Abdominal guarding, s_1558
Abdominal mass, s_299
Abdominal pain, s_13
Abdominal pain- below belly button, s_1598
Abdominal pain- burning or gnawing, s_1802
Abdominal pain- colicky, s_1848
Abdominal pain- crampy, s_1860
Abdominal pain- diffuse, s_1557
Abdominal pain- epigastric, s_1387
Abdominal pain- exacerbating during coughing or movement, s_15
Abdominal pain- exacerbating during deep breath, s_1202
Abdominal pain- exacerbating on an empty stomach, s_14
Abdominal pain- gradual onset, s_1844
Abdominal pain- lasting 2 to 7 days, s_1852
Abdominal pain- lasting 8 to 14 days, s_1853
Abdominal pain- lasting less than 2 days, s_1840
Abdominal pain- lasting more than 2 weeks, s_1842
Abdominal pain- left lower quadrant, s_1729
Abdominal pain- left upper quadrant, s_1591
Abdominal pain- localised, s_2275
Abdominal pain- migrating to the right lower quadrant, s_1851
Abdominal pain- mild, s_1782
Abdominal pain- moderate, s_1783
Abdominal pain- periumbilical, s_1532
Abdominal pain- postprandial, s_16
Abdominal pain- premenstrual, s_17
Abdominal pain- radiating to left shoulder or shoulder blade, s_1845
Abdominal pain- recurrent, s_1847
Abdominal pain- reduced by defecation or relieving flatulence, s_57
Abdominal pain- right lower quadrant, s_1531
Abdominal pain- right upper quadrant, s_1528
Abdominal pain- severe, s_1195
Abdominal pain- sharp and stabbing, s_1369
Abdominal pain- sudden onset, s_1843
Abdominal pain- unbearable, s_1929
Abdominal pain- unknown character, s_2288
Abdominal pain- unspecified location, s_2281
Abdominal tenderness, s_1514
Abdominal tenderness- epigastric region, s_2463
Abdominal tenderness- hypogastric region, s_1400
Abdominal tenderness- left lower quadrant, s_2252
Abdominal tenderness- left upper quadrant, s_1589
Abdominal tenderness- right lower quadrant, s_1856
Abdominal tenderness- right upper quadrant, s_1392
Abnormal vaginal discharge, s_328
Abscess, s_598
Absence seizure, s_2047
Absence seizures- reflex, s_2294
Acid reflux, s_2121
Agitation, s_145
Agnosia, s_833
Angular cheilitis, s_608
Anhedonia, s_508
Anhidrosis, s_1123
Anisocoria, s_497
Annular skin lesions, s_1647
Anorectal pain, s_436
Anxiety, s_120
Anxiety attack, s_582
Apathy, s_4
Aphonia, s_477
Ascites, s_1116
Asymmetrical thigh creases, s_2238
Ataxia, s_651
Ataxia- acute, s_2278
Ataxia- chronic, s_2280
Ataxia- subacute, s_2279
Audible wheezing, s_474
Auscultative fine crackles over the thorax, s_857
Auscultative wheezes over the thorax, s_856
Avoiding eating in someone else's presence, s_719
Avoiding eating or drinking in public, s_718
Avoiding public appearances, s_717
