Abnormal vaginal bleeding in adolescence, c_1123, N92.1, N92.2, N93.8
Acetaminophen poisoning, c_306, T39.1
Achilles tendon rupture, c_806, S86.1
Acne, c_111, L70.0, L70.1, L70.2, L70.3, L70.5, L70.8, L70.9, L73.0
Acquired immunodeficiency syndrome, c_259, B20, B21, B22, B23, B24
Acute bacterial rhinosinusitis, c_1172, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute bronchiolitis, c_1084, J21, J21.0, J21.1, J21.8, J21.9
Acute bronchitis, c_72, J20, J20.9, J68.0
Acute cystitis, c_184, N30.0
Acute hypnotic toxicity, c_191, F13.0
Acute laryngitis, c_123, J04.0
Acute liver failure, c_507, K72.0
Acute lower gastrointestinal hemorrhage, c_705, K62.5, K92.2
Acute lymphoblastic leukemia, c_70, C91.0
Acute opioid toxicity, c_193, T50.7
Acute otitis media, c_130, H66.0, H66.4, H66.9
Acute porphyria, c_168, E80.2
Acute stimulant overdose, c_194, F15.0, F15.1, T43.6
Acute streptococcal tonsillopharyngitis, c_249, J02.0, J03.0
Acute urticaria, c_77, L50
Acute viral rhinosinusitis, c_1166, J01, J01.0, J01.1, J01.2, J01.3, J01.4, J01.8, J01.9
Acute viral tonsillopharyngitis, c_121, J02, J02.8, J02.9, J03.8, J03.9
Adverse event following immunization, c_1217, T88.1
Alcohol poisoning, c_667, T51.0
Allergic conjunctivitis, c_3, H10.1
Allergic rhinitis, c_4, J30.1, J30.2, J30.3, J30.4
American trypanosomiasis, c_243, B57
Anal fissure, c_275, K60
Anaphylaxis, c_700, T78.2
Angioedema, c_715, T78.3
Ankle contusion, c_1049, S90.0
Ankle joint dislocation, c_1026, S93.0
Anorectal abscess, c_988, K61.2
Anorexia nervosa, c_7, F50.0, F50.1
Appendicitis, c_132, K35, K36, K37
Arm contusion, c_1039, S40.0
Arrhythmia, c_1155, I47.0, I48, I49
Ascariasis, c_289, B77
Asthma, c_8, J45, J45.0, J45.1, J45.8, J45.9
Asthma exacerbation, c_972, J45, J45.0, J45.1, J45.8, J45.9, J46
Atopic dermatitis, c_2, L20
Attention deficit hyperactivity disorder, c_581, F90
Atypical pneumonia, c_1118, J15.7, J16.0
Autism spectrum disorder, c_863, F84, F84.0, F84.1, F84.2, F84.3, F84.4, F84.5, F84.8, F84.9
Back and pelvis contusion, c_1050, S30.0
Bacterial gastroenteritis, c_1077, A04, A04.9, A09, K52.8, K52.9
Bacterial meningitis, c_563, G00, G01
Bacterial vaginitis, c_128, N76.0
Baker's cyst, c_910, M71.2
Balanoposthitis, c_134, N48.1
Battered child syndrome, c_1178, T74, T74.1, Y07, Y07.1, Y07.3, Y07.8, Y07.9
Beeturia, c_1205, R89.9
Blepharitis, c_769, H01.0
Bloating after certain types of food, c_1242, R14
Blunt abdominal trauma, c_1095, S39.0, S39.6, S39.7, S39.8, S39.9
Bone neoplasm, c_1186, C40, C41
Braincase fracture, c_1018, S02.0, S02.1, S02.7
Breast asymmetry in adolescence, c_1121, N64, N64.5, N64.9
Bruxism, c_999, F45.8, G47
Bulimia nervosa, c_14, F50.2, F50.3
Burn, c_845, T29, T30, T30.1, T30.2, T30.3, T30.4, T30.5, T30.6, T30.7
COVID-19, c_1105, B34.2, U07.1, U07.2
Carbon monoxide poisoning, c_161, T58, X47, X67, Y17
Cardiac tamponade, c_649, I31.4, I31.9
Cat-scratch disease, c_242, A28.1
Cavernous sinus thrombosis, c_614, G08
Celiac disease, c_15, K90.0
Cervical strain, c_975, M43.6, S13.6
Chalazion, c_171, H00.1
Chickenpox, c_68, B01.9
Cholecystitis, c_215, K81.0
Chronic constipation, c_674, K59.0
Chronic sinusitis, c_269, J32, J32.1, J32.2, J32.3, J32.4, J32.8, J32.9
Chronic tonsillitis, c_669, J35.0
Chronic urticaria, c_1112, L50
Clavicle fracture, c_1051, S42.0
Cluster headaches, c_39, G44.0
Common cold, c_87, J00
Concussion, c_672, S06.0
Conduct disorder, c_1170, F91
Congenital heart disease, c_1133, I51.9
Congenital syphilis, c_1119, A50
Conjunctivitis, c_172, B30.1, B30.3, B30.8, B30.9, H10, H13.1, H13.2
Contact dermatitis, c_670, L25
Corneal abrasion, c_174, S05.0
Corns and callosities, c_847, L84
Costochondritis, c_746, M94.0
Cradle cap, c_1091, L21.0
Crohn's disease, c_17, K50
Crohn's disease exacerbation, c_1208, K50, K50.8, K50.9
Croup, c_1116, J05
Cruciate ligament injury, c_811, S83.5
Cryptorchidism, c_1000, Q53, Q53.1, Q53.2, Q53.9
Cystic fibrosis, c_188, E84
Death cap poisoning, c_303, T62.0
Dehydration, c_298, E86
Delayed onset muscle soreness, c_1204, M79.1
Dengue fever, c_245, A97
Dental caries, c_79, K02
Dental fluorosis, c_1197, K00.3
Dental trauma, c_963, S02.5, S03.2
Dentin hypersensitivity, c_1213, K03.8
Diabetes mellitus type 1, c_404, E10
Diabetes mellitus type 2, c_405, E11
Diabetic ketoacidosis, c_634, E10.1, E11.1, E12.1, E13.1, E14.1
Diaper dermatitis, c_844, L22
Dysplasia of the hip, c_1120, Q65.8
Ear barotrauma, c_688, T70.0
Earwax blockage, c_808, H61.2
Elbow contusion, c_1041, S50.0
Elbow dislocation, c_1025, S53.0, S53.1
Encephalitis, c_671, A83, A85, A86, B01.1, B02.0, G04.0
Enterobiasis, c_166, B80
Epiglottitis, c_1078, J05.1
Epilepsy, c_74, G40
Epistaxis, c_983, R04.0
Erysipelas, c_169, A46
Erythema infectiosum, c_1004, B08.3
Erythema toxicum, c_1189, P83.1
External ear injury, c_1054, S00.4, S01.3
Eye injury, c_959, S05
Facial bones fracture, c_1015, S02
Facial contusion, c_1046, S00.8, S00.9
Febrile seizures, c_1086, R56.0
Femur fracture, c_1055, S72
Fetal alcohol syndrome, c_1167, P04.3, Q86.0
Finger contusion, c_1044, S60.1
Finger dislocation, c_1029, S63.1
Finger fracture, c_1012, S62.6
Flatfoot, c_814, M21.4
Food allergy, c_832, T78.1
Foot bones fracture, c_1019, S92
Foot contusion, c_1056, S90.3
Forearm bones fracture, c_1057, S52
Forearm contusion, c_1035, S50.1, S50.7, S50.8, S50.9
Foreign body aspiration, c_887, T17
Foreign body in ear, c_1187, T16
